GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SolarSystemSimulator,particlesystem,Particle,779,0,24,0,145,0,35,0,23,0
SolarSystemSimulator,particlesystem,ParticleSystem,342,0,28,0,81,0,28,0,14,0
SolarSystemSimulator,util,Vector3D,0,563,0,2,0,78,0,26,0,25
SolarSystemSimulator,experiments,CreateSolarSystemStateFiles,270,0,6,0,53,0,8,0,5,0
SolarSystemSimulator,experiments,SimulationAccuracyExperiment,407,0,14,0,86,0,15,0,8,0
SolarSystemSimulator,experiments,FlorenceEarthExperiment,434,0,12,0,81,0,11,0,5,0
SolarSystemSimulator,solarsystem,SolarSystemApplication.new Runnable() {...},32,0,0,0,7,0,2,0,2,0
SolarSystemSimulator,solarsystem,SolarSystemApplication.new EventHandler() {...},15,0,0,0,3,0,2,0,2,0
SolarSystemSimulator,solarsystem,SolarSystemApplication.new Comparator() {...},30,0,2,0,6,0,3,0,2,0
SolarSystemSimulator,solarsystem,SolarSystemApplication.new EventHandler() {...},10,0,0,0,3,0,2,0,2,0
SolarSystemSimulator,solarsystem,SolarSystemApplication.new Comparator() {...},40,0,2,0,8,0,3,0,2,0
SolarSystemSimulator,solarsystem,SolarSystemApplication.new EventHandler() {...},10,0,0,0,3,0,2,0,2,0
SolarSystemSimulator,solarsystem,SolarSystemApplication.new EventHandler() {...},36,0,2,0,6,0,3,0,2,0
SolarSystemSimulator,solarsystem,SolarSystemApplication.new EventHandler() {...},15,0,0,0,3,0,2,0,2,0
SolarSystemSimulator,solarsystem,SolarSystemApplication.new EventHandler() {...},24,0,2,0,5,0,3,0,2,0
SolarSystemSimulator,solarsystem,SolarSystemException,7,0,0,0,4,0,2,0,2,0
SolarSystemSimulator,solarsystem,SolarSystemApplication.new EventHandler() {...},18,0,2,0,5,0,3,0,2,0
SolarSystemSimulator,solarsystem,SolarSystemApplication.new EventHandler() {...},11,0,0,0,3,0,2,0,2,0
SolarSystemSimulator,solarsystem,SolarSystemApplication.new EventHandler() {...},14,0,2,0,4,0,3,0,2,0
SolarSystemSimulator,solarsystem,SolarSystemApplication.new EventHandler() {...},11,0,0,0,3,0,2,0,2,0
SolarSystemSimulator,solarsystem,SolarSystemApplication.new EventHandler() {...},11,0,0,0,3,0,2,0,2,0
SolarSystemSimulator,solarsystem,SolarSystemApplication.new EventHandler() {...},12,0,0,0,3,0,2,0,2,0
SolarSystemSimulator,solarsystem,DateTimeSelector,227,0,4,0,42,0,7,0,5,0
SolarSystemSimulator,solarsystem,SolarSystemApplication.new EventHandler() {...},18,0,2,0,5,0,3,0,2,0
SolarSystemSimulator,solarsystem,SolarSystemApplication.new EventHandler() {...},18,0,2,0,5,0,3,0,2,0
SolarSystemSimulator,solarsystem,SolarSystemApplication.new EventHandler() {...},18,0,2,0,5,0,3,0,2,0
SolarSystemSimulator,solarsystem,SolarSystemApplication,3048,0,118,0,627,0,100,0,41,0
SolarSystemSimulator,solarsystem,SolarSystemBody,85,0,4,0,28,0,13,0,11,0
SolarSystemSimulator,solarsystem,SolarSystemApplication.new EventHandler() {...},17,0,0,0,3,0,2,0,2,0
SolarSystemSimulator,solarsystem,SolarSystemApplication.new EventHandler() {...},42,0,2,0,8,0,3,0,2,0
SolarSystemSimulator,solarsystem,SolarSystemApplication.new EventHandler() {...},17,0,0,0,4,0,2,0,2,0
SolarSystemSimulator,solarsystem,SolarSystemApplication.new EventHandler() {...},17,0,0,0,4,0,2,0,2,0
SolarSystemSimulator,solarsystem,SolarSystemApplication.new EventHandler() {...},17,0,0,0,4,0,2,0,2,0
SolarSystemSimulator,solarsystem,SolarSystemApplication.new EventHandler() {...},12,0,0,0,3,0,2,0,2,0
SolarSystemSimulator,solarsystem,SolarSystem,927,0,54,0,183,0,41,0,14,0
SolarSystemSimulator,solarsystem,SolarSystemApplication.SimRunnable,130,0,16,0,32,0,10,0,2,0
SolarSystemSimulator,solarsystem,SolarSystemApplication.DrawAnimationTimer,74,0,4,0,19,0,5,0,3,0
SolarSystemSimulator,ephemeris,EphemerisDE405,695,0,28,0,102,0,27,0,13,0
SolarSystemSimulator,ephemeris,JulianDateConverter,3,270,0,16,1,46,1,10,1,2
SolarSystemSimulator,ephemeris,EphemerisSolarSystem,562,0,72,0,108,0,49,0,13,0
SolarSystemSimulator,ephemeris,EphemerisApproximate,259,0,20,0,52,0,22,0,12,0
SolarSystemSimulator,ephemeris,EphemerisUtil,290,1143,8,16,69,205,11,22,5,16
SolarSystemSimulator,ephemeris,DECheck,1613,0,118,0,245,0,65,0,6,0
SolarSystemSimulator,ephemeris,SolarSystemParameters,43,2329,1,3,7,144,6,6,5,5
